,Name,Intro,Link
35,Standard Carbon,Recycling CO2 into Clean Energy,https://finder.startupnationcentral.org/company_page/co2storage
36,Powercom,Smart Grid Solutions for Utilities,https://finder.startupnationcentral.org/company_page/powercom
37,Spheratec Technologies,Photovoltaic Energy Production and Storage,https://finder.startupnationcentral.org/company_page/spheratec
38,New BrightSource Energy,Thermo-solar Technology Solutions,https://finder.startupnationcentral.org/company_page/brightsource-industries-israel
39,Juganu,"Indoor, Outdoor, and Industrial Smart LED Lighting",https://finder.startupnationcentral.org/company_page/juganu
40,Tadiran Batteries,Lithium Battery Manufacturer,https://finder.startupnationcentral.org/company_page/tadiran-batteries
41,Ayala Water & Ecology,"Solutions for Water, Soil, and Air Pollution",https://finder.startupnationcentral.org/company_page/ayala-water-and-ecology
42,DST Cleantech,Solar Solutions and LED-based Illumination Devices,https://finder.startupnationcentral.org/company_page/dst-cleantech
43,WINT Water Intelligence,Enterprise-grade Water Management and Control Solutions,https://finder.startupnationcentral.org/company_page/WINT-Water-Intelligence
44,SolarBead,Smart Microinverter for Enhancing PV Yield,https://finder.startupnationcentral.org/company_page/solarbead
45,PVpredict,"Photovoltaic Performance, Fault, and Yield Prediction",https://finder.startupnationcentral.org/company_page/ipv-solar
46,Sun Effect,Robotic Cleaning Systems for Solar Panels,https://finder.startupnationcentral.org/company_page/sun-effect
47,Sologic,Renewable Energy Systems,https://finder.startupnationcentral.org/company_page/sologic
48,Solaris Synergy,Floating Solar Farm,https://finder.startupnationcentral.org/company_page/solaris-synergy
49,GEM Solar,Kerf-free Slicing of Silicon Ingots for PV,https://finder.startupnationcentral.org/company_page/gem-solar
50,Matalon,Sun Tracker and Solar Panel Technology,https://finder.startupnationcentral.org/company_page/matalon
51,Grid4C,Smart Grid Predictive Analytics Solution,https://finder.startupnationcentral.org/company_page/grid4c
52,FSIGHT,AI-based Distributed Energy Management Solution,https://finder.startupnationcentral.org/company_page/foresight-energy-scales
53,Synvertec,Grid Stability Software,https://finder.startupnationcentral.org/company_page/synvertec-ltd
54,Vigdu Technologies,PID Solutions for Solar Panels,https://finder.startupnationcentral.org/company_page/vigdu-technolgies
55,MTR Wireless Communications,Smart Grid Wireless Control Solutions,https://finder.startupnationcentral.org/company_page/mtr
56,Solatics,Solar Energy and Electricity Systems for Industry and Utility Sites,https://finder.startupnationcentral.org/company_page/solatics
57,Green Power Management,Reducing Electrical Peak Demand,https://finder.startupnationcentral.org/company_page/gpm-green-power-management
58,IOSight,Data Management and Analytics for the Water and Energy Sectors,https://finder.startupnationcentral.org/company_page/iosight
59,Tigi,Highly Efficient Solar Thermal Collectors,https://finder.startupnationcentral.org/company_page/tigi
60,GreenTech Energy,Solar Hot Water and Solar Pool Heaters,https://finder.startupnationcentral.org/company_page/greentech-energy
61,SolView,AI-based Property Analytics,https://finder.startupnationcentral.org/company_page/solview
62,Ecoppia,Water-free Robotic Cleaning for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/ecoppia
63,Vollspark,Smart Power Transformers for Regulating Alternative Energy Input,https://finder.startupnationcentral.org/company_page/volex-power
64,Raycatch,AI Diagnostics System for PV Plants,https://finder.startupnationcentral.org/company_page/raycatch-pv-analytics
65,SolarWat,Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/solarwat-ltd
66,3GSolar Photovoltaics,Energy Solution for Wireless and IoT Devices,https://finder.startupnationcentral.org/company_page/3gsolar-photovoltaics-lts
67,EExion,Pseudocapacitive Electrode Technology for Electric Vehicles,https://finder.startupnationcentral.org/company_page/bikehive
68,Agam Greenhouse Energy Systems,"Dehumidification, Heating, and Cooling Systems",https://finder.startupnationcentral.org/company_page/agam-energy-systems
69,Meteo-Logic,Weather-driven Energy Commodity Algo-trading,https://finder.startupnationcentral.org/company_page/meteo-logic
70,Qnergy,Stirling-based Power Generation Systems,https://finder.startupnationcentral.org/company_page/qnergy
71,TUBEX NRG,Bionanotechnology Solution to Extend Battery Life,https://finder.startupnationcentral.org/company_page/pntlloxx
72,Solaris Hydrobotics,Water-powered Autonomous Robotic Cleaning,https://finder.startupnationcentral.org/company_page/solaris-hydrobotics
73,SolarEdge,Distributed Solar Power Harvesting and Module-level PV Monitoring,https://finder.startupnationcentral.org/company_page/solaredge
74,eSave,Power-saving Systems,https://finder.startupnationcentral.org/company_page/esave
75,Vintec Knowledge,Energy-saving Technologies,https://finder.startupnationcentral.org/company_page/vintec-knowledge
76,Elspec Engineering,Power Quality Analysis and Factor Correction,https://finder.startupnationcentral.org/company_page/elspec-engineering
77,Sternum,Security Solution for IoT Devices,https://finder.startupnationcentral.org/company_page/Sternum
78,Feelit Technologies,Nanomaterial-based Sensing Solutions for IoT Applications,https://finder.startupnationcentral.org/company_page/feelit
79,SolAround,Bifacial PV Cell-based Products,https://finder.startupnationcentral.org/company_page/solaround
80,Phoebus Energy,Hybrid Water Heating and Cooling Solutions for Commercial Sites,https://finder.startupnationcentral.org/company_page/phoebus-energy
81,SmartGreen,Energy Optimization Solutions for Commercial Buildings,https://finder.startupnationcentral.org/company_page/smartgreen
82,Olivebar,Biomass Fuel from the Olive Industry,https://finder.startupnationcentral.org/company_page/olivebar
83,FlexiFuel,Flexible-fuel Engines,https://finder.startupnationcentral.org/company_page/flexi-fuel
84,EVR Motors,Electric Motor Topology,https://finder.startupnationcentral.org/company_page/evr
85,Integrated Maritime Solutions,Submersible Marine Perimeters and Security Barriers,https://finder.startupnationcentral.org/company_page/ims-integrated-maritime-solutions
86,LCB-Bioenergy,Converting Biomass to Extract Ethanol,https://finder.startupnationcentral.org/company_page/lcb-bioenergy
87,Greenlet,Scalable Energy Control,https://finder.startupnationcentral.org/company_page/greenlet
88,Israel Energy Initiatives (IEI),Clean Transportation Fuels from Oil Shale,https://finder.startupnationcentral.org/company_page/israel-energy-initiatives-iei
89,ScoutCam,AI-based Predictive Maintenance and Monitoring for Industry 4.0,https://finder.startupnationcentral.org/company_page/scoutcam
90,WindWells,Optimizing Wind Energy Production,https://finder.startupnationcentral.org/company_page/windwells
91,Or Hama Energy,Solar Electricity Device,https://finder.startupnationcentral.org/company_page/or-hama-energy
92,Burning Solar,Carbon-based Solar Cell Technology,https://finder.startupnationcentral.org/company_page/burning-solar
93,Power Me Tech,Back-up Smartphone Battery,https://finder.startupnationcentral.org/company_page/battarix
94,Heliofocus,Solar Thermal Energy Solutions,https://finder.startupnationcentral.org/company_page/heliofocus
95,Power Offer,Converting and Regulating AC Power,https://finder.startupnationcentral.org/company_page/power-offer
96,Binol Green Energy,Environmental Protection Technologies,https://finder.startupnationcentral.org/company_page/national-biodiesel-israel-nbi
97,Galooli,Remotely Managed IoT Solutions for Connected Assets,https://finder.startupnationcentral.org/company_page/galooli
98,EnzymoCore,Immobilized Enzymes for Biodiesel Production,https://finder.startupnationcentral.org/company_page/transbiodiesel
99,G-patrol,Energy Management for PCs,https://finder.startupnationcentral.org/company_page/g-patrol
100,BrightView Systems,Process Control and Optimization Solutions for Renewable Energy Sources,https://finder.startupnationcentral.org/company_page/brightview-systems
101,E.M.SH Ng-Tech,Alternative Fuel for Internal Combustion Engines,https://finder.startupnationcentral.org/company_page/e-m-sh-ng-tech
102,Enercon,Aircraft and Military Power Supplies,https://finder.startupnationcentral.org/company_page/enercon
103,GreenSun Energy,Photovoltaic Solar Panels,https://finder.startupnationcentral.org/company_page/greensun-energy-gse
104,SDE,Sea Wave Power Plants,https://finder.startupnationcentral.org/company_page/sde
105,Eternegy,Tracker for Photovoltaic Panels,https://finder.startupnationcentral.org/company_page/eternegy
106,Watts & More,Improving Efficiency of Photovoltaic Installations,https://finder.startupnationcentral.org/company_page/watts-more
107,Bio Petrol,Sludge Energy Recovery System,https://finder.startupnationcentral.org/company_page/bio-petrol-ltd
108,bSolar,Bifacial PV Crystalline Silicon Solar Cells and Modules,https://finder.startupnationcentral.org/company_page/bsolar
109,Solarian Energy,Renewable Energy Solutions,https://finder.startupnationcentral.org/company_page/solarian-energy
110,ZenithSolar,Solar Energy Company,https://finder.startupnationcentral.org/company_page/zenithsolar
111,QEDIT,Secure Data Collaboration Platform for Enterprises,https://finder.startupnationcentral.org/company_page/qed-it
112,Panoramic Power,Circuit-level Energy Management Solutions,https://finder.startupnationcentral.org/company_page/panoramic-power
113,StreamBooster,Renewable Energy Production,https://finder.startupnationcentral.org/company_page/streambooster
114,Smart Energy,Energy Savings in Cooling and Air Conditioning Systems,https://finder.startupnationcentral.org/company_page/smart-energy
115,Innosave Energy,Energy-saving Drive for Electric Motors,https://finder.startupnationcentral.org/company_page/innosave-energy-ltd
116,Thermo Clean Tech,Real-time Water Heater Control System,https://finder.startupnationcentral.org/company_page/thermo-clean-tech
117,MST,Highly Efficient Solar Energy Systems for Generating Electricity,https://finder.startupnationcentral.org/company_page/mst-solar-energy-company
118,EMDACT,Microbial Conversion of Carbon Dioxide and Wastewater to Natural Gas,https://finder.startupnationcentral.org/company_page/emdact
119,Sun770,Solar Energy Collectors,https://finder.startupnationcentral.org/company_page/sun770
120,Seener-G,Industrial Energy Optimization and Management,https://finder.startupnationcentral.org/company_page/seener-g1
121,Plastic Back,Converting Plastic Waste into Crude Oil,https://finder.startupnationcentral.org/company_page/plastic-back
122,Ambrosia SupHerb,Vitamins and Dietary Supplements,https://finder.startupnationcentral.org/company_page/ambrosia-supherb
123,CQM,Automatic Tube Cleaning System and Chemical-free Water Treatment Solutions,https://finder.startupnationcentral.org/company_page/CQM
124,Clairion,Industrial Pollutant Removal Solutions,https://finder.startupnationcentral.org/company_page/mercuremoval
125,Turbulent Technologies,Large-scale Liquid Mixing and Separation Systems,https://finder.startupnationcentral.org/company_page/turbulent-technologies
126,GreenQ,Optimization and Monitoring of Waste Collection,https://finder.startupnationcentral.org/company_page/greenq1
127,Millennium Electric T.O.U.,PV and PVT Solar Technologies,https://finder.startupnationcentral.org/company_page/millennium-electric-t-o-u
128,ETV Energy,Lithium-ion Batteries for Electric Vehicles,https://finder.startupnationcentral.org/company_page/etv-motors-etv-energy
129,Leviathan Energy,"Clean Power from Wind, Hydro, and Wave Products",https://finder.startupnationcentral.org/company_page/leviathan-energy
130,Nimrod Industries,Solar and Electric Water Heating System Components,https://finder.startupnationcentral.org/company_page/nimrod-industries
131,Nortex Technologies,Smart Grid Solutions for Utilities Management,https://finder.startupnationcentral.org/company_page/nortex-technologies
132,Ormat Technologies,Geothermal Power and Renewable Energy Solutions,https://finder.startupnationcentral.org/company_page/ormat-technologies
133,WERPO,Using Sea Wave Technology to Generate Electricity,https://finder.startupnationcentral.org/company_page/werpo
134,GridON,Fault Current Limiter,https://finder.startupnationcentral.org/company_page/gridon
135,PowerPlug,PC Power Management,https://finder.startupnationcentral.org/company_page/powerplug
136,Tamuz Electronics,Energy Systems and Backup Technologies,https://finder.startupnationcentral.org/company_page/tamuz-electronics
137,Metrolight,LED and IoT Solutions,https://finder.startupnationcentral.org/company_page/metrolight
138,Moon Solar Light,Solar Street Lighting and Related Safety Products,https://finder.startupnationcentral.org/company_page/msl
139,SATEC Powerful Solutions,Energy Management Solutions,https://finder.startupnationcentral.org/company_page/satec
140,Advice Electronics,Power Supply Systems,https://finder.startupnationcentral.org/company_page/advice-electronics
141,Amcor Solar Energies,Solar and Electrical Heating Systems,https://finder.startupnationcentral.org/company_page/amcor-solar-energies1
142,Gnrgy,Smart Grid for Appliances and EV Charging Solutions,https://finder.startupnationcentral.org/company_page/gnrgy
143,AHG Energy,Hybrid Solar Power Systems,https://finder.startupnationcentral.org/company_page/al-hadeshe
144,Magen eco-Energy,Solar Thermal Solutions,https://finder.startupnationcentral.org/company_page/magen-eco-energy
145,Battery Solution International,Battery Life Extension and Refurbishment,https://finder.startupnationcentral.org/company_page/battery-solution-international-bsi
146,3d Signals,Real-time Production Floor Performance Monitoring,https://finder.startupnationcentral.org/company_page/3dsignals
147,Materials Zone,Advanced Materials Discovery Platform,https://finder.startupnationcentral.org/company_page/materials-zone
148,R-Jet Engineering,Gas Turbine Engine,https://finder.startupnationcentral.org/company_page/r-jet-engineering
149,enVerid Systems,Energy-saving HVAC Load Reduction,https://finder.startupnationcentral.org/company_page/enverid
150,Mobideo Technologies,Industrial Workforce Digitalization Platform,https://finder.startupnationcentral.org/company_page/mobideo-technologies
151,New Delek,Production of Biofuel for Automobiles,https://finder.startupnationcentral.org/company_page/new-delek
152,NRG Spring,Energy Storage System,https://finder.startupnationcentral.org/company_page/nrg-spring
153,TeraGroup,High-frequency Chips,https://finder.startupnationcentral.org/company_page/novatrans
154,Pollight,Wireless Building Automation System,https://finder.startupnationcentral.org/company_page/pollight
155,AGM Communication & Control,Real-time Distribution Control Networking,https://finder.startupnationcentral.org/company_page/agm-communication-control-ltd
156,Reali Technologies,Industrial IoT Remote Control and SCADA Solution,https://finder.startupnationcentral.org/company_page/reali-technologies-realiteq
157,Chromagen,Hot Water Solutions,https://finder.startupnationcentral.org/company_page/chromagen
158,IsraZion,Plastic and Textile Recycling,https://finder.startupnationcentral.org/company_page/israzion
159,Green ELMF Cables,Extra-low Electromagnetic Field Cables,https://finder.startupnationcentral.org/company_page/green-elmf-cables
160,C-Boot,Compression Products,https://finder.startupnationcentral.org/company_page/c-boot
161,Mobix Wireless Solutions,Advanced Metering Infrastructure and Smart Grid Solutions,https://finder.startupnationcentral.org/company_page/mobix
162,ThermaSphera,Multi-polytropic Process for Energy Storage,https://finder.startupnationcentral.org/company_page/thermasphera
163,Tamuz Energy,Industrial Process Solar Heat,https://finder.startupnationcentral.org/company_page/tamuz-energy
164,Designer Energy,Producing Biofuel from Sugars,https://finder.startupnationcentral.org/company_page/designer-energy
165,Pythagoras Solar,Building-integrated Photovoltaics for Self-powered Buildings,https://finder.startupnationcentral.org/company_page/pythagoras-solar
166,Renergy,Energy Recovery Technology for Desalination,https://finder.startupnationcentral.org/company_page/renergy
167,CellEra,Low-cost Fuel Cell Technology,https://finder.startupnationcentral.org/company_page/cellera
168,Yeloha,Peer-to-peer Solar-sharing Network,https://finder.startupnationcentral.org/company_page/yeloha
169,Virdia,Cellulosic Sugars and Lignin for Renewable Chemicals Production,https://finder.startupnationcentral.org/company_page/virdia
170,Pentalum Technologies,Wind Sensing and Measuring Technology,https://finder.startupnationcentral.org/company_page/pentalum-technologies
171,Linum Systems,Thermal Solar-based Air-conditioning,https://finder.startupnationcentral.org/company_page/linum-systems
172,Utilight,Printing Technology Enabling Efficient Solar-cell Conversion,https://finder.startupnationcentral.org/company_page/utilight
173,Battery Switchy,Battery-swapping Machines for Light Electric Vehicles,https://finder.startupnationcentral.org/company_page/battery-switchy
174,RevAmp Technologies,Producing Electricity by Cooling the Environment,https://finder.startupnationcentral.org/company_page/RevAmp-Technologies
175,SolariPhy,Higher Efficiency for Photovoltaic Cells,https://finder.startupnationcentral.org/company_page/solariphy
176,Engineuity Research & Development,Alternative Fuels Based on Natural Gas,https://finder.startupnationcentral.org/company_page/engineuity
177,Kedma Solar,Solar Energy Systems for Consumers,https://finder.startupnationcentral.org/company_page/kedma-solar
178,Flywheel Energy,Flash Charger for Electrical Vehicles,https://finder.startupnationcentral.org/company_page/energo-on
179,Firmitas Cyber Solutions,Cybersecurity for Mission-critical Connected Systems,https://finder.startupnationcentral.org/company_page/firmitas-cyber-solutions
180,Winflex,Wind Turbine Technology,https://finder.startupnationcentral.org/company_page/winflex
181,Arcoline,Solution For Power Outages,https://finder.startupnationcentral.org/company_page/arcoline
182,EnStorage,Long-lasting Energy Storage Systems,https://finder.startupnationcentral.org/company_page/enstorage
183,SunBoost,Add-on Optical PV Collector for Greenhouses,https://finder.startupnationcentral.org/company_page/sunboost
184,AORA Solar,"High-temperature, Concentrated Solar Power Technologies",https://finder.startupnationcentral.org/company_page/aora
185,HydroSpin,Hydroelectric Power for Smart Water Monitoring,https://finder.startupnationcentral.org/company_page/hydrospin
186,Kalisaya,Portable Energy Generator with Folding Solar Panels,https://finder.startupnationcentral.org/company_page/kalisaya
187,PowerSines,Energy Management and Voltage Optimization Solutions,https://finder.startupnationcentral.org/company_page/powersines
188,Innogen Technologies,Hair Growth Stimulation Technology,https://finder.startupnationcentral.org/company_page/innogen-technologies
189,SwitchQ,IoT Monitoring and Control Systems for Energy Management,https://finder.startupnationcentral.org/company_page/switchq
190,Pixtier Maps,3D-mapping Software,https://finder.startupnationcentral.org/company_page/pixtier
191,VoltaNano,Nanotechnology-enhanced Lead-acid Batteries,https://finder.startupnationcentral.org/company_page/voltanano
192,Haama Group,Manufacturer of Textile and Insulation Products,https://finder.startupnationcentral.org/company_page/haama
193,Intellithings,Touch-free and Voice-free Personalized Device Automation,https://finder.startupnationcentral.org/company_page/intellithings
194,Chen Liquid Heater,Electromagnetic Induction Water Heater,https://finder.startupnationcentral.org/company_page/chen-liquid-heater-uheat
195,Bulbee,Social Platform for Domestic Energy Usage,https://finder.startupnationcentral.org/company_page/bulbee
196,Meircell,Rugged Battery Packs,https://finder.startupnationcentral.org/company_page/meircell
197,SKM Aeronautics,Precision Rubber Sealing Solutions and Molded Parts,https://finder.startupnationcentral.org/company_page/skm-aeronautics
198,Inno-Bev,Natural Energy Drinks,https://finder.startupnationcentral.org/company_page/wakeup
199,Bright Innovations,Comprehensive Platform for Smart City Applications,https://finder.startupnationcentral.org/company_page/bright-led
200,Environmental Energy Resources (EER),Energy-generating Waste Treatment,https://finder.startupnationcentral.org/company_page/environmental-energy-resources-eer
201,Ficos Technologies,Wireless Sensors to Detect Overheating in Electrical Equipment,https://finder.startupnationcentral.org/company_page/ficos-technologies
202,Green City,Enzyme Technology for Biodiesel Production,https://finder.startupnationcentral.org/company_page/green-city
203,Maygia,Hydrogen-powered Clean Water and Electricity,https://finder.startupnationcentral.org/company_page/paragonh2
204,Fast Sense,Gas Analysis and Leak Detection Sensors-as-a-Service Platform,https://finder.startupnationcentral.org/company_page/fast-sense
205,TurboGen,High-efficiency Clean Power Generators for Buildings,https://finder.startupnationcentral.org/company_page/turbogen
206,Blink Energy,Device for Turning Eye Movements into Wireless Charging,https://finder.startupnationcentral.org/company_page/blink-energy
207,Alteco A.I,Energy Optimization Predictive Tools,https://finder.startupnationcentral.org/company_page/alteco-ai
208,Fenec Labs,IoT Monitoring and Control System for Large-scale Split Air Conditioning Installations,https://finder.startupnationcentral.org/company_page/fenec-labs-ltd
209,OTARKI,Self-sustaining Neighborhoods Supported by Autonomous Technology,https://finder.startupnationcentral.org/company_page/otarki
210,Nam Technology,Saving Energy and Fuel in the Food Industry and Cooling Logistics,https://finder.startupnationcentral.org/company_page/n-a-m-technology-ltd
211,SolarAce,Rotational Active Solar Photovoltaic System,https://finder.startupnationcentral.org/company_page/solarace
212,Lightech,LED Electronic Drivers,https://finder.startupnationcentral.org/company_page/lightech
213,ZevaLed,Colored LED Lights,https://finder.startupnationcentral.org/company_page/zevaled
214,Catom Energy,Energy Management Systems,https://finder.startupnationcentral.org/company_page/catom-energy
215,mPrest,Monitoring and Control Software,https://finder.startupnationcentral.org/company_page/mprest
216,Bing Klima,Agri-voltaic Modules for Urban Environment,https://finder.startupnationcentral.org/company_page/bing-klima
217,Verilite,Energy Asset Management Platform,https://finder.startupnationcentral.org/company_page/verilite
218,Fonto Power,Green Energy Generation Management System,https://finder.startupnationcentral.org/company_page/fonto-power
219,Yam Pro Energy,Renewable Sea Wave Energy Solutions,https://finder.startupnationcentral.org/company_page/yam-pro-energy
220,Setpoint,Climate Intelligence Solution,https://finder.startupnationcentral.org/company_page/Setpoint
221,Fabriloo,Off-grid Emergency Sanitation Solutions,https://finder.startupnationcentral.org/company_page/fabriloo
222,KorenEnergy,3D Sunlight-tracking Technology,https://finder.startupnationcentral.org/company_page/k
223,REVEAL LASERS,Energy-based Aesthetic and Medical Treatment Solutions,https://finder.startupnationcentral.org/company_page/reveal-lasers
224,QuantumLeap,Space-based Quantum AIoT Platform,https://finder.startupnationcentral.org/company_page/quantumleap
225,SolOr,Solar Paint that Converts Sunlight into Electricity,https://finder.startupnationcentral.org/company_page/solor
226,Emmesh,Long-duration Energy Storage Systems,https://finder.startupnationcentral.org/company_page/emmesh
227,KET Water,Self-powered IoT Devices to Monitor Pipeline Infrastructure,https://finder.startupnationcentral.org/company_page/ket-generator
228,BioShade,Green Shade for Smart Cities,https://finder.startupnationcentral.org/company_page/bioshade
229,Agri-Light Energy Systems,Dynamic Agri-voltaic System,https://finder.startupnationcentral.org/company_page/agri-light-energy-systems
230,Airovation Technologies,Industrial Carbon Capture and Residential Air Purification Solutions,https://finder.startupnationcentral.org/company_page/airovation-technologies
231,Edrei Bio Hydrogen,Biochemical Hydrogen Production Process,https://finder.startupnationcentral.org/company_page/edrei-bio-hydrogen1
232,Purammon,Converting Industrial Wastewater into Green Hydrogen,https://finder.startupnationcentral.org/company_page/purammon
233,Seanergy Electric,Hydro-electric Solutions,https://finder.startupnationcentral.org/company_page/seanergy-electric-ltd
234,Seambiotic,Environmental Solutions,https://finder.startupnationcentral.org/company_page/seambiotic
235,QDSOL,Sunlight-based Water Splitting for Green Hydrogen Generation,https://finder.startupnationcentral.org/company_page/qdsol-ltd
236,SolarView,Solar Energy Asset Management Platform,https://finder.startupnationcentral.org/company_page/solarview-io
237,ELEMENTS,Platform for Connecting Homes & Businesses with Clean Energy Solutions,https://finder.startupnationcentral.org/company_page/elements
238,NayamWings,Wind Propulsion System for Merchant Ships,https://finder.startupnationcentral.org/company_page/naymwings
239,Isra-Juk Electronics,Electricity-monitoring Technologies,https://finder.startupnationcentral.org/company_page/isra-juk-electronics
