,Name,Intro,Link
30,Applied Cognitive Engineering,Training Software,https://finder.startupnationcentral.org/company_page/intelligym
31,MyPlay,Video Training for Sports,https://finder.startupnationcentral.org/company_page/myplay
32,FituUp,Video Conferencing for Fitness Classes,https://finder.startupnationcentral.org/company_page/fituup
33,LSports,Real-time Sports Data Solutions,https://finder.startupnationcentral.org/company_page/lsports
34,Aydrate,Hydration Management for Athletes,https://finder.startupnationcentral.org/company_page/aydrate
35,OutVgo,Collaborative Platform for Outdoor Activities,https://finder.startupnationcentral.org/company_page/h2h-human-to-human
36,Classhopper,A Single Membership Across Hundreds of Fitness Studios,https://finder.startupnationcentral.org/company_page/classhopper
37,Ngage Sportek,Sports Management and Advertising Platform,https://finder.startupnationcentral.org/company_page/ngage-sportek
38,eFantasy.Ninja,eSports Game Platform,https://finder.startupnationcentral.org/company_page/efantasy-ninja
39,SportJobz,Social Network for Athletes,https://finder.startupnationcentral.org/company_page/sportjobz
40,Footybase,Soccer News Website,https://finder.startupnationcentral.org/company_page/footybase
41,BrainTalk,Software for Detecting Cognitive Deficits,https://finder.startupnationcentral.org/company_page/braintalk
42,YuviTal,Digital Health and Fitness Solutions for Organizations,https://finder.startupnationcentral.org/company_page/rumble1
43,SoInFit,Social Fitness App,https://finder.startupnationcentral.org/company_page/so-fit
44,Orthoflex,Functional Orthopedic Bracing,https://finder.startupnationcentral.org/company_page/orthoflex
45,Pellesus,Horse Wellness Monitoring and Performance Solution,https://finder.startupnationcentral.org/company_page/pellesus
46,Muscle & Motion,Strength Training Applications,https://finder.startupnationcentral.org/company_page/muscle-and-motion
47,TamiCare,3D Printed Textiles,https://finder.startupnationcentral.org/company_page/tamicare
48,KamaKama,"Customized, Near-live Video Clips from Sporting Events",https://finder.startupnationcentral.org/company_page/kamakama
49,Vita Sentry,Monitoring Inner Diameter of Arterioles,https://finder.startupnationcentral.org/company_page/vita-sentry
50,Homies,Social Network for the Amateur Sport Experience,https://finder.startupnationcentral.org/company_page/homies
51,weairable,Wearable Sensor for Continuous Monitoring of Physiological Parameters,https://finder.startupnationcentral.org/company_page/weairable
52,Texel,Personalized OTT Viewing Experiences,https://finder.startupnationcentral.org/company_page/strigy
53,ELTIVU,CBD Addition Device,https://finder.startupnationcentral.org/company_page/eltivu
54,SonicBone Medical,Ultrasound System for Bone Age Assessment,https://finder.startupnationcentral.org/company_page/sonicbone-medical
55,Marqode Technologies,Personal Training and Smart Guidance Development Solutions,https://finder.startupnationcentral.org/company_page/marqode-technologies
56,Playkers,Social Sports Management Platform,https://finder.startupnationcentral.org/company_page/playkers
57,Neetour Medical,Noninvasive Technology for Monitoring CO2 in the Blood,https://finder.startupnationcentral.org/company_page/neetour-medical
58,ICETRON TECHNOLOGIES,Interactive Cooling Armband for Exercising,https://finder.startupnationcentral.org/company_page/icetron-technologies
59,InPlay King,Social Sports Game,https://finder.startupnationcentral.org/company_page/inplay-king
60,Balleyes,Social Video Platform for Amateur Sports,https://finder.startupnationcentral.org/company_page/balleyes
61,BeThere,Social Activities Platform,https://finder.startupnationcentral.org/company_page/bethere
62,Playtech,Online Gaming and Sports Betting Software Solutions,https://finder.startupnationcentral.org/company_page/playtech
63,FastBreak Live,Streaming and Broadcasting Platform for Sports Fans,https://finder.startupnationcentral.org/company_page/fastbreak-live
64,PlaySight Interactive,Sports AI and Automated Production for Streaming and Performance Video Analysis,https://finder.startupnationcentral.org/company_page/playsight-interactive
65,Replay Technologies,Free Dimensional Video Technology,https://finder.startupnationcentral.org/company_page/replay-technologies
66,Orad Hi-Tec Systems,VideoGraphic Solutions,https://finder.startupnationcentral.org/company_page/orad-hi-tech-systems
67,Quando Technologies,Mobile Appointment Generator,https://finder.startupnationcentral.org/company_page/quando
68,MytiGo,Reservations for Playoff Games,https://finder.startupnationcentral.org/company_page/mytigo
69,LedSwim,Performance Monitoring System for Swimmers,https://finder.startupnationcentral.org/company_page/ledswim
70,Pulse Play,All-in-One Wearable for Racket Sports,https://finder.startupnationcentral.org/company_page/pulse-play
71,Be Talent Group,Athlete Potential Prediction Platform,https://finder.startupnationcentral.org/company_page/be-talent-group
72,FitFully,Virtual Fitting for Online Footwear Shopping,https://finder.startupnationcentral.org/company_page/fitfully
73,Fantasy Network,Internet Gaming Developer,https://finder.startupnationcentral.org/company_page/fantasy-network
74,Finishers Club,Online Trophy Case for Runners,https://finder.startupnationcentral.org/company_page/finishers-club
75,Milestone Sports,Mileage Tracking Device for Running Shoes,https://finder.startupnationcentral.org/company_page/milestone-sports
76,udobu,Sports Fan Behavior Prediction Technology,https://finder.startupnationcentral.org/company_page/udobu
77,recCenter,Online Recreational Sports Community,https://finder.startupnationcentral.org/company_page/reccenter
78,Chess Vision,"Broadcast, Share, and Analyze Board Games",https://finder.startupnationcentral.org/company_page/chess-vision
79,EveryMatch,Activity-based Matching Service,https://finder.startupnationcentral.org/company_page/everymatch
80,Toptix,Ticketing System,https://finder.startupnationcentral.org/company_page/toptix
81,goFlow,Outdoor Sporting Conditions App,https://finder.startupnationcentral.org/company_page/goflow
82,Sportwize,Sports Betting with Friends,https://finder.startupnationcentral.org/company_page/sportwize
83,Fabula Gaming,Sports Game Monetization Solution,https://finder.startupnationcentral.org/company_page/fabula-gaming
84,eGamer,Gaming Monetization Platform,https://finder.startupnationcentral.org/company_page/egamer
85,Carpe Diem Solutions,Real-time IoT Computing and Connectivity,https://finder.startupnationcentral.org/company_page/carpe-diem-solutions
86,FANS-LEAGUE,Mobile Gaming App for Sports Fans,https://finder.startupnationcentral.org/company_page/fans-league
87,Global Ski-Pic,App for Shared Ski Photos,https://finder.startupnationcentral.org/company_page/global-ski-pic
88,Fitit,Platform for Connecting Fitness Trainers and Trainees,https://finder.startupnationcentral.org/company_page/fitit
89,Ticket-Compare,Ticket Comparison Marketplace for Live Events,https://finder.startupnationcentral.org/company_page/ticket-compare
90,Togi,Physical Activities App,https://finder.startupnationcentral.org/company_page/togi
91,Cassit,"Splints and Casts for Orthopedics, Rehabilitation, and Emergency Care",https://finder.startupnationcentral.org/company_page/cassit
92,STADS Technologies,Sports Advertising Platform,https://finder.startupnationcentral.org/company_page/stads-technologies
93,MoonRun,Virtual Reality Fitness Trainer,https://finder.startupnationcentral.org/company_page/nanorun
94,Scouting4U,Scouting Solutions for Basketball Teams,https://finder.startupnationcentral.org/company_page/scouting4u
95,Pico,Data-driven Marketing Platform for Sports Fans,https://finder.startupnationcentral.org/company_page/pico
96,WeTrip,Ski Holiday Booking App,https://finder.startupnationcentral.org/company_page/weski
97,iFloat Systems,Smart Camera for Sport Fishing,https://finder.startupnationcentral.org/company_page/ifloat-systems
98,Spiral Frame,Movement Analysis Technology,https://finder.startupnationcentral.org/company_page/spiral-frame
99,RSPCT Basketball Technologies,Basketball Shot Data Anaylsis,https://finder.startupnationcentral.org/company_page/rspct-basketball-technologies
100,SenSwim,Visual Workout Solution for Swimmers,https://finder.startupnationcentral.org/company_page/senswim
101,Gymetryx,Monitoring the Effectiveness of Fitness Equipment,https://finder.startupnationcentral.org/company_page/gymetryx
102,Innovision Labs,Enhancing Human Image Processing,https://finder.startupnationcentral.org/company_page/glassesoff
103,LiTECUBE.io,Mobile Connectivity Platform for Untethered Blockchain Frameworks,https://finder.startupnationcentral.org/company_page/litecube
104,Insoundz,Advanced Audio Production Technology,https://finder.startupnationcentral.org/company_page/insoundz
105,Fitness22,Fitness and Productivity Apps,https://finder.startupnationcentral.org/company_page/fitness22
106,Caligenix,Genetic Tests for Optimizing Health and Fitness,https://finder.startupnationcentral.org/company_page/caligenix
107,BeLive,Live Broadcasting App for Facebook,https://finder.startupnationcentral.org/company_page/belive
108,ABonAir,Wireless HD Video Broadcasting Solutions,https://finder.startupnationcentral.org/company_page/abonair
109,Acceler8 Performance,Athletic Performance Assessment Platform,https://finder.startupnationcentral.org/company_page/acceler8
110,Go Heja!,Training and Management Solution for Endurance Sports Clubs,https://finder.startupnationcentral.org/company_page/go-heja
111,At Event,Mobile Platform for Sports Events,https://finder.startupnationcentral.org/company_page/at-event
112,FanPassTick,Event Ticket Marketplace App,https://finder.startupnationcentral.org/company_page/fanpasstick
113,Airscort,Commercial Drone Docking and Recharging Station,https://finder.startupnationcentral.org/company_page/airscort
114,LVision,Smart Tennis Analysis,https://finder.startupnationcentral.org/company_page/lvision
115,ElastiMed,Wearable Device for Improving Leg Circulation,https://finder.startupnationcentral.org/company_page/haptico
116,Pic2Go,Social Platform for Sponsors and Race Participants,https://finder.startupnationcentral.org/company_page/pic2go
117,Shamir Optical Industry,Progressive Lenses for the Ophthalmic Industry,https://finder.startupnationcentral.org/company_page/shamir-optical-industry
118,RideOn,AR Technologies for Outdoor Sports and Activities,https://finder.startupnationcentral.org/company_page/rideon
119,Draft Fantasy,Premier League Fantasy Football,https://finder.startupnationcentral.org/company_page/draft-fantasy
120,Fuze.tv,Video Editor for Gamers,https://finder.startupnationcentral.org/company_page/quarterback
121,Eco-Net,"Smart, Connected, Digital Fishing Lures",https://finder.startupnationcentral.org/company_page/eco-net
122,Pack Social Sport,Social App for Pick-up Soccer Games,https://finder.startupnationcentral.org/company_page/pack-social-sport
123,Spectigo,Sports Photo Marketplace,https://finder.startupnationcentral.org/company_page/spectigo
124,Boost,Chatbot Mobile App for Athlete Analysis,https://finder.startupnationcentral.org/company_page/boost
125,ProgressIt,Mobile App for Tracking Fitness Goals,https://finder.startupnationcentral.org/company_page/progressit
126,X-trodes,Advanced Monitoring and Analysis of Biopotential Signals,https://finder.startupnationcentral.org/company_page/x-trodes1
127,Playform,Mobile Training App for Youth Soccer Athletes,https://finder.startupnationcentral.org/company_page/playform
128,Loglig,Sports Management System,https://finder.startupnationcentral.org/company_page/loglig
129,AthletAR,AI-based Engine for Interactive Sports Broadcasts,https://finder.startupnationcentral.org/company_page/athletar
130,CannRx,Science-based Cannabis Technologies,https://finder.startupnationcentral.org/company_page/cannrx
131,MIXZONE,Digital Interview Backdrops for Sports Clubs and Federations,https://finder.startupnationcentral.org/company_page/mixzone
132,SnookerX,Bringing a New Experience to the Snooker Table,https://finder.startupnationcentral.org/company_page/snookerx1
133,WeRlive,Interactive Managed Live VOD Platform,https://finder.startupnationcentral.org/company_page/werlive
134,Joggify,Socializing Sports,https://finder.startupnationcentral.org/company_page/joggify
135,Minute Media,Digital Media and Technology Platform,https://finder.startupnationcentral.org/company_page/90min
136,Vubooo,The Second Screen Platform for Sports,https://finder.startupnationcentral.org/company_page/vubooo
137,Sodyo,Interactive Scanning Technology,https://finder.startupnationcentral.org/company_page/sodyo
138,NoviSign,Digital Signage Software,https://finder.startupnationcentral.org/company_page/novisign
139,Newsfusion,"AI-powered, Personalized News Consumption Platform",https://finder.startupnationcentral.org/company_page/newsfusion
140,Fanwaze,A Meeting Place for Sport Fans and Enthusiasts,https://finder.startupnationcentral.org/company_page/fanwaze
141,Catalyzata,User Segmentation Solutions,https://finder.startupnationcentral.org/company_page/catalyzata
142,TropX,AI-driven Smart Suit for Personal Training,https://finder.startupnationcentral.org/company_page/tropx
143,FitBack,Real-time Workout Feedback,https://finder.startupnationcentral.org/company_page/fitback
144,Pro Workout,Fitness Training App,https://finder.startupnationcentral.org/company_page/pro-workout
145,Level Hydrofoils,Marine eMobility,https://finder.startupnationcentral.org/company_page/level
146,AIR,Air Taxi for the Consumer Market,https://finder.startupnationcentral.org/company_page/air1
147,JustPlay.LOL,Lite eSports Games,https://finder.startupnationcentral.org/company_page/justplay-lol
148,Watteam,Power Meter for Cyclists,https://finder.startupnationcentral.org/company_page/watteam
149,Inthegame,Viewer Engagement and Monetization Platform for Broadcasters and Video Content Owners,https://finder.startupnationcentral.org/company_page/inthegame
150,KeyPodOn,Wearable IoT Technology,https://finder.startupnationcentral.org/company_page/keypod
151,OpenGym,Booking Platform for Sports and Recreational Venues,https://finder.startupnationcentral.org/company_page/opengym
152,AvantGuard,Athlete's Injuries Prevention,https://finder.startupnationcentral.org/company_page/avantguard
153,Sea Analytics,Analytics Platform for Competitive Sailing,https://finder.startupnationcentral.org/company_page/sea-analytics
154,Fitter,"Mobile App for Connecting Coaches, Trainees, and Space Owners",https://finder.startupnationcentral.org/company_page/fitter
155,TopShot,Penalty Kick Training System,https://finder.startupnationcentral.org/company_page/topshot-tech
156,Hopaway,Travel Planning Platform for Event-goers,https://finder.startupnationcentral.org/company_page/hopaway
157,Strikeco,Sports Simulator Platform,https://finder.startupnationcentral.org/company_page/strikecosense
158,InVivo,Watch How-to Videos From All Over the Web,https://finder.startupnationcentral.org/company_page/invivo
159,SuTree,Sport Clubs Management End to End Solution,https://finder.startupnationcentral.org/company_page/sutree
160,SportCube,Download Sport Calendars,https://finder.startupnationcentral.org/company_page/sportcube
161,SportyCal,Cross-platform Social Content Monetization,https://finder.startupnationcentral.org/company_page/sportycal
162,Interacting Technology,Social Running,https://finder.startupnationcentral.org/company_page/interacting-technology
163,Ekidens,Bring the Game Day Experience to You,https://finder.startupnationcentral.org/company_page/ekidens1
164,Fandome,Social Sport Betting Game,https://finder.startupnationcentral.org/company_page/fandome
165,SportoWin,Virtual Training Rooms,https://finder.startupnationcentral.org/company_page/sportowin
166,Videeback,Social Sporting News Platform,https://finder.startupnationcentral.org/company_page/videeback
167,SportsFan.me,Personalized Video Experience Platform,https://finder.startupnationcentral.org/company_page/sportsfan-me
168,Videof.me,Player Development Platform,https://finder.startupnationcentral.org/company_page/videof-me
169,Varsaty,AI Soccer Prediction System,https://finder.startupnationcentral.org/company_page/varsaty
170,Gymex,Customized Live Event Experiences,https://finder.startupnationcentral.org/company_page/gymex-com
171,Caster,Tradable VR Content,https://finder.startupnationcentral.org/company_page/caster
172,Divo,Marketplace and Infrastructure for Talent and Creator Funds,https://finder.startupnationcentral.org/company_page/divo
173,Exceed Talent Capital,Global Community of Runners,https://finder.startupnationcentral.org/company_page/exceed-talent-capital
174,RunEverywhere,Fan Engagement Platform,https://finder.startupnationcentral.org/company_page/runeverywhere
175,Crowder,Fantasy Sports Platform,https://finder.startupnationcentral.org/company_page/crowder
176,Jerilla Network,Sports Partner Matching,https://finder.startupnationcentral.org/company_page/jerilla-networks
177,SporTM,Volumetric Video Capture System,https://finder.startupnationcentral.org/company_page/sportm-na-ltd
178,TetaVi,Fogging Prevention Solution for Laparoscopic Surgeries,https://finder.startupnationcentral.org/company_page/tetavi-ltd
179,Plasmatica,IoT Gym Personalization,https://finder.startupnationcentral.org/company_page/plasmatica
180,Practix Innovative Workout,AI Sports Analytics and Performance Analysis,https://finder.startupnationcentral.org/company_page/practix-innovative-workout
181,Track160,Interactive Fitness Training via Mobile Device,https://finder.startupnationcentral.org/company_page/track160-ltd
182,BlazePod,Indoor Dynamic Aerial Camera Systems,https://finder.startupnationcentral.org/company_page/play-coyotta1
